MAA Soccer League,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Table,,,,,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,rank
,,,Team name,Bonus/penalty points,,,,,,,,,,,,,,,,,A.S. Roma,4,2,2,0,9,6,3,8,8000030009
,,,A.S. Roma,,,,,,,,GP,W,D,L,GF,GA,GD,PTS,,,Liverpool,4,0,1,3,6,17,-11,1,999890006
,,,Liverpool,,,,,,,Black Horse FC,4,4,0,0,11,1,10,12,,,Tolba FC,4,1,3,0,8,2,6,6,6000060008
,,,Tolba FC,,,,,,,Brothers FC,4,4,0,0,12,3,9,12,,,Eagles FC,4,2,1,1,10,7,3,7,7000030010
,,,Eagles FC,,,,,,,A.S. Roma,4,2,2,0,9,6,3,8,,,Ricks FC,4,1,1,2,4,10,-6,4,3999940004
,,,Ricks FC,,,,,,,Saga FC,4,2,1,1,14,9,5,7,,,Regala FC,4,2,0,2,8,7,1,6,6000010008
,,,Regala FC,,,,,,,Eagles FC,4,2,1,1,10,7,3,7,,,Dream FC,4,0,2,2,4,6,-2,2,1999980004
,,,Dream FC,,,,,,,Tolba FC,4,1,3,0,8,2,6,6,,,Brothers FC,4,4,0,0,12,3,9,12,12000090012
,,,Brothers FC,,,,,,,Babylon FC,4,2,0,2,9,7,2,6,,,Black Horse FC,4,4,0,0,11,1,10,12,12000100011
,,,Black Horse FC,,,,,,,North Africa FC,4,2,0,2,9,8,1,6,,,Joga Bonito FC,4,1,0,3,6,11,-5,3,2999950006
,,,Joga Bonito FC,,,,,,,Regala FC,4,2,0,2,8,7,1,6,,,Babylon FC,4,2,0,2,9,7,2,6,6000020009
,,,Babylon FC,,,,,,,ISNA SC,4,1,2,1,8,10,-2,5,,,ISNA SC,4,1,2,1,8,10,-2,5,4999980008
,,,ISNA SC,,,,,,,Ricks FC,4,1,1,2,4,10,-6,4,,,North Africa FC,4,2,0,2,9,8,1,6,6000010009
,,,North Africa FC,,,,,,,Joga Bonito FC,4,1,0,3,6,11,-5,3,,,Syrian Eagles,4,1,0,3,6,12,-6,3,2999940006
,,,Syrian Eagles,,, ,,,,Syrian Eagles,4,1,0,3,6,12,-6,3,,,Saga FC,4,2,1,1,14,9,5,7,7000050014
,,,Saga FC,,,,,,,Dream FC,4,0,2,2,4,6,-2,2,,,Team 16,4,0,1,3,8,16,-8,1,999920008
,,,Team 16,,,,,,,Team 16,4,0,1,3,8,16,-8,1,,,,,,,,,,,,
,,,,,,,,,,Liverpool,4,0,1,3,6,17,-11,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Time,Field,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,1,A.S. Roma,Ricks FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,2,Liverpool,Regala FC,0,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,3,Tolba FC,Dream FC,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,10:45 PM,4,Eagles FC,Babylon FC,2,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,1,A.S. Roma,Dream FC,3,:,2,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,2,Liverpool,Babylon FC,1,:,6,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,3,Tolba FC,Ricks FC,6,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,11:35 PM,4,Eagles FC,Regala FC,1,:,4,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,1,Brothers FC,North Africa FC,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,2,Black Horse FC,Saga FC,1,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,3,Joga Bonito FC,Syrian Eagles,2,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,12:20 AM,4,ISNA SC,Team 16,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,1,Brothers FC,Syrian Eagles,4,:,0,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,2,Black Horse FC,Team 16,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,3,Joga Bonito FC,North Africa FC,0,:,3,,,,,,,,,,,,,,,,,,,,,,,
11-Jan,1:05 AM,4,ISNA SC,Saga FC,3,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,1,Babylon FC,Joga Bonito FC,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,2,Black Horse FC,ISNA SC,3,:,0,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,3,North Africa FC,Syrian Eagles,4,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,10:45 PM,4,Saga FC,Team 16,7,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,1,Babylon FC,Black Horse FC,0,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,2,Joga Bonito FC,ISNA SC,3,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,3,North Africa FC,Saga FC,1,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,11:35 PM,4,Syrian Eagles,Team 16,4,:,2,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,1,A.S. Roma,Tolba FC,0,:,0,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,2,Liverpool,Eagles FC,1,:,5,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,3,Ricks FC,Dream FC,1,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,12:20 AM,4,Regala FC,Brothers FC,1,:,3,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,1,A.S. Roma,Liverpool,4,:,4,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,2,Tolba FC,Eagles FC,2,:,2,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,3,Ricks FC,Regala FC,3,:,1,,,,,,,,,,,,,,,,,,,,,,,
18-Jan,1:05 AM,4,Dream FC,Brothers FC,1,:,2,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,1,A.S. Roma,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,2,Liverpool,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,3,Tolba FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,10:45 PM,4,Eagles FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,1,A.S. Roma,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,2,Liverpool,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,3,Tolba FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,11:35 PM,4,Eagles FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,1,Brothers FC,ISNA SC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,2,Black Horse FC,Joga Bonito FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,3,Saga FC,Syrian Eagles,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,12:20 AM,4,North Africa FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,1,Brothers FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,2,Black Horse FC,Syrian Eagles,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,3,Joga Bonito FC,Saga FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan,1:05 AM,4,ISNA SC,North Africa FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,1,Brothers FC,Saga FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,2,Black Horse FC,North Africa FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,3,Joga Bonito FC,Team 16,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,10:45 PM,4,ISNA SC,Syrian Eagles,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,1,Brothers FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,2,Black Horse FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,3,Saga FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,11:35 PM,4,North Africa FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,1,Joga Bonito FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,2,ISNA SC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,3,Team 16,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,12:20 AM,4,Syrian Eagles,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,1,A.S. Roma,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,2,Liverpool,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,3,Ricks FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
1-Feb,1:05 AM,4,Regala FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,1,Brothers FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,2,Black Horse FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,3,Saga FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,10:45 PM,4,North Africa FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,1,Brothers FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,2,Black Horse FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,3,Saga FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,11:35 PM,4,North Africa FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,1,Joga Bonito FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,2,ISNA SC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,3,Team 16,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,12:20 AM,4,Syrian Eagles,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,1,Joga Bonito FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,2,ISNA SC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,3,Team 16,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
8-Feb,1:05 AM,4,Syrian Eagles,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,1,Joga Bonito FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,2,ISNA SC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,3,Team 16,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,10:45 PM,4,Syrian Eagles,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,1,Brothers FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,2,Black Horse FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,3,Saga FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,11:35 PM,4,North Africa FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,1,Joga Bonito FC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,2,ISNA SC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,3,Team 16,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,12:20 AM,4,Syrian Eagles,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,1,Brothers FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,2,Black Horse FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,3,Saga FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
15-Feb,1:05 AM,4,North Africa FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,1,Joga Bonito FC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,2,ISNA SC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,3,Team 16,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,10:45 PM,4,Syrian Eagles,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,1,Joga Bonito FC,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,2,ISNA SC,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,3,Team 16,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,11:35 PM,4,Syrian Eagles,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,1,Brothers FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,2,Black Horse FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,3,Saga FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,12:20 AM,4,North Africa FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,1,Brothers FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,2,Black Horse FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,3,Saga FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb,1:05 AM,4,North Africa FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,1,Brothers FC,Eagles FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,2,Black Horse FC,Tolba FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,3,Saga FC,Babylon FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,10:45 PM,4,North Africa FC,Dream FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,1,Joga Bonito FC,Regala FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,2,ISNA SC,Ricks FC,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,3,Team 16,Liverpool,,:,,,,,,,,,,,,,,,,,,,,,,,,
29-Feb,11:35 PM,4,Syrian Eagles,A.S. Roma,,:,,,,,,,,,,,,,,,,,,,,,,,,